Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSRNOG00000021916,Slc16a12,0.019908115314513135,1.752159103762807e-05,0.00031671481414574957,9,0.0029973689501943982,9
ENSRNOG00000009037,Sulf1,0.01989352617304804,6.866953579476309e-05,0.0011158445599969648,150,0.023283044251171885,137
ENSRNOG00000070422,Cstf2t,0.01987298942773774,3.1467519411743083e-05,0.0005511011566309939,17,0.003687004086913616,17
ENSRNOG00000013061,Tusc3,0.019871095898671785,7.649057343250831e-05,0.001225404762294985,358,0.04836159040770584,300
ENSRNOG00000010452,Cycs,0.01982506805050568,8.200356831045141e-05,0.0013029639553521523,685,0.10819036366237927,569
ENSRNOG00000010536,Nr2c2,0.01981607835773404,3.0581664000051134e-05,0.0005361826340031212,14,0.0039920130181613205,14
ENSRNOG00000033615,Mt-nd3,0.019813648405641628,8.451289006772278e-05,0.001338786103766278,2934,0.6307842785143678,1936
ENSRNOG00000014171,Tnfsf13,0.019805870993126414,8.296587907197228e-05,0.0013169266726409136,673,0.11050712901744532,553
ENSRNOG00000010378,Slc4a5,0.019797505297485314,3.9356992210581865e-05,0.0006787143448831415,28,0.003222234195428666,24
ENSRNOG00000007738,Hm13,0.01976282462742233,8.744342205346811e-05,0.0013838184923762695,1398,0.2378245074321035,1047
ENSRNOG00000010375,Slc39a2,0.01973722681779469,8.080762547479914e-05,0.0012865553461957413,213,0.03617082868393589,178
ENSRNOG00000002459,Fbxo40,0.019720452907612502,4.967193966098904e-05,0.000841859261222053,30,0.004745620569420852,27
ENSRNOG00000016271,Itm2b,0.019707831317118035,9.232169876915997e-05,0.0014580907975946889,9440,1.5927648391237723,3107
ENSRNOG00000011927,Sdc3,0.019668651607705128,6.189552323876413e-05,0.0010147286810079969,31,0.0071981948504098595,30
ENSRNOG00000069792,ENSRNOG00000069792,0.019651125633087546,1.0187269326333848e-05,0.0001923014839780528,10,0.0022754319408314406,10
ENSRNOG00000036760,Tmc5,0.01964863639895106,2.63012309364985e-05,0.00046684684912284835,26,0.002558155545263612,22
ENSRNOG00000050317,Uhrf1bp1l,0.019575116187315417,8.984216803842315e-05,0.0014203533125593038,183,0.03403819289260774,176
ENSRNOG00000019271,Ulk4,0.019573271968102594,7.21135384331717e-05,0.001162222487508847,108,0.015638121259668708,93
ENSRNOG00000058561,Srrm2,0.019556003756943552,0.00010362022758547695,0.0016300020231559758,1671,0.27531128276137085,1179
ENSRNOG00000040281,Zc3h10,0.019510229388105853,0.00010680504021309822,0.0016750856157600538,55324,9.928267191048343,4083
ENSRNOG00000024309,Cox6b1,0.019503202980743334,0.00010850276958462857,0.0017000205310068741,2321,0.3924470800317463,1530
ENSRNOG00000046005,Scd2,0.01947720461461359,0.00011106669895566412,0.001724761880728254,4410,0.7976602567587942,2250
ENSRNOG00000019199,Cracr2b,0.019457008320150227,0.00011005395600727219,0.0017209032287565718,706,0.10172046713352327,561
ENSRNOG00000008481,Reep1,0.019456717816141417,8.148983131262e-05,0.0012961076903627814,76,0.014295988671204499,73
ENSRNOG00000004678,Itln1,0.01944926385126715,5.666690807748509e-05,0.0009372337934074711,32,0.0036224368025029015,28
ENSRNOG00000061247,Deup1,0.01944411734871742,6.960426009294807e-05,0.0011287061189146578,40,0.004663643138974473,35
ENSRNOG00000017428,Map1b,0.01944099499374139,0.00010976610841706425,0.0017181066542897383,389,0.06617809674864904,331
ENSRNOG00000056596,Alas1,0.01941541323867466,0.00010603347873261448,0.001664641127274372,207,0.02943304915811349,181
ENSRNOG00000021659,Acp4,0.019410043885224423,6.854018630653158e-06,0.00013370425947568698,7,0.0018039933123716592,7
ENSRNOG00000029042,Mt-nd6,0.019345783189906506,0.00011292483582114876,0.0017518910061151052,149,0.03978438017358508,141
ENSRNOG00000015380,Jup,0.0193445011777411,0.0001235561810566388,0.0019019438373356842,4128,0.7034968664533555,2118
ENSRNOG00000017063,Fcna,0.019333764059744563,0.00010492977825027339,0.0016489562958931297,107,0.015449672039747665,101
ENSRNOG00000010362,Anxa2,0.019331573819461517,0.0001246974224990982,0.0019156732684510586,3212,0.5259438237133298,1824
ENSRNOG00000003217,Lgals3bp,0.019329147306656528,0.00012356239623345644,0.0019019438373356842,1248,0.18814067211848826,899
ENSRNOG00000001254,Col6a2,0.019320802996730523,0.00012545836457000803,0.0019254866040432977,2234,0.3740871188588806,1442
ENSRNOG00000024628,Wdr49,0.0193171124137229,6.405669313869211e-06,0.0001258929672384121,9,0.0007303300942139796,9
ENSRNOG00000025551,Rgs22,0.019294825690344467,9.634273427305828e-05,0.0015185541776119448,73,0.008298782101694638,60
ENSRNOG00000016580,Rps23,0.01929317612380772,0.00012832902289416914,0.0019619030638776858,21699,4.009130543025808,3879
ENSRNOG00000019459,Oaz1,0.019289646898725275,0.00012917615947327654,0.001972940528699404,10867,1.8184800838003612,3212
ENSRNOG00000014964,Hp,0.0192856814737452,0.00011349018089701346,0.0017589304142563678,158,0.01859181623891244,130
ENSRNOG00000015406,Pgm5,0.019209349271596413,0.00013246626746332701,0.00202123263093607,495,0.0818945810812539,408
ENSRNOG00000015630,Cct7,0.01918981618883718,0.00013858202864591718,0.002108426578684311,1488,0.2315004092601901,1072
ENSRNOG00000013090,Gadd45g,0.019178624492823423,0.00013787862523240157,0.002099751585423298,717,0.10399710525413695,570
ENSRNOG00000019692,Metrn,0.01915680305557683,0.00012235548675954,0.001887052037479324,120,0.016674118250551203,111
ENSRNOG00000049229,Pomp,0.019144104177384918,0.00014490868571814808,0.0022004342045177745,4540,0.7720778691320404,2289
ENSRNOG00000023465,Depp1,0.019122859974460966,0.00013619355155736201,0.0020760955122312765,275,0.03357619707389367,217
ENSRNOG00000012094,Ltbp2,0.019097772645901265,0.00014960070550085192,0.002265135754182928,2077,0.3234441485948577,1306
ENSRNOG00000013552,Scd,0.01909408959561314,0.00014893070614308002,0.0022571594136800263,984,0.1707554570685371,776
ENSRNOG00000032684,Ccdc60,0.019081326826442358,7.893796006963605e-05,0.0012606080310208748,40,0.004064944618086824,38
ENSRNOG00000001480,Ncf1,0.01902755738309603,0.00014892211445882708,0.0022571594136800263,249,0.03614979056826448,220
ENSRNOG00000019940,Ssr2,0.019024984405603414,0.00015898551233828329,0.002393438056806133,3036,0.4978674013656007,1796
ENSRNOG00000014893,Dnai3,0.019021309728194873,5.042419098777451e-05,0.000851860769934943,37,0.0030782489308242306,33
ENSRNOG00000018748,Slc16a11,0.018971462242854207,0.00015812298212058984,0.0023827289141345478,393,0.05563499237589923,339
ENSRNOG00000059061,Uqcr10,0.018955324967341154,0.00016824990210739799,0.002520869731004569,6742,1.1651327788038202,2778
ENSRNOG00000022199,Zmynd12,0.01894902774573222,6.940705672264791e-05,0.0011266673821445688,23,0.0027103879061117844,22
ENSRNOG00000060449,Rps21,0.018931323404602775,0.00017124806664847725,0.0025584948118609467,13418,2.390671265971954,3521
ENSRNOG00000007258,Sbspon,0.018929424643638622,0.0001267202544454893,0.0019410735185323637,62,0.009066277966923995,58
